?property	?value	?lang	?langVar
"dervStem"	"causativeCausative"	"beja"	"bishari"
"dervStem"	"causativeD"	"alaaba"	
"dervStem"	"causativeDenominal"	"hadiyya"	
"dervStem"	"causativeDouble1"	"alaaba"	
"dervStem"	"causativeDouble2"	"alaaba"	
"dervStem"	"causativePassive"	"hadiyya"	
"dervStem"	"causativeSimple2"	"alaaba"	
"dervStem"	"causativeSimplel1"	"alaaba"	
"dervStem"	"causativeSimplel2"	"alaaba"	
"dervStem"	"causative_causative-1"	"wolaytta"	
"dervStem"	"causative_causative-2"	"wolaytta"	
"dervStem"	"causative_iterative"	"wolaytta"	
"dervStem"	"causative_iterative_causative"	"wolaytta"	
"dervStem"	"causative_passive"	"wolaytta"	
"dervStem"	"collaborative"	"beja"	"beniamer"
"dervStem"	"combination"	"kambaata"	
"dervStem"	"combo"	"burji"	
"dervStem"	"completative"	"shinassha"	
"dervStem"	"cooperative"	"beja"	"beniamer"
"dervStem"	"denominal"	"burji"	
"dervStem"	"denominal"	"maale"	
"dervStem"	"denominalDeadjectival"	"sidaama"	
"dervStem"	"denominativeFromNClass1"	"wolaytta"	
"dervStem"	"denominativeFromNClass2"	"wolaytta"	
"dervStem"	"denominativeFromNClass3"	"wolaytta"	
"dervStem"	"detransitivize"	"alaaba"	
"dervStem"	"durative"	"iraqw"	
"dervStem"	"factitive1"	"iraqw"	
"dervStem"	"factitive2"	"iraqw"	
"dervStem"	"form1"	"arabic"	
"dervStem"	"form2"	"arabic"	
"dervStem"	"form3"	"arabic"	
"dervStem"	"frequentative"	"bilin"	
"dervStem"	"generic"	"tsamakko"	
"dervStem"	"habitual"	"iraqw"	
"dervStem"	"habitual"	"yemsa"	
"dervStem"	"habitualPartialReduplication"	"yaaku"	
"dervStem"	"habitualTotalReduplication"	"yaaku"	
"dervStem"	"inceptive"	"gawwada"	
"dervStem"	"inceptive"	"tsamakko"	
"dervStem"	"inchoative"	"alaaba"	
"dervStem"	"inchoative"	"arbore"	
"dervStem"	"inchoative"	"dhaasanac"	
"dervStem"	"inchoative"	"iraqw"	
"dervStem"	"inchoative"	"koorete"	
"dervStem"	"inchoative"	"maale"	
"dervStem"	"ingressive"	"gawwada"	
"dervStem"	"intensive"	"beja"	"atmaan"
"dervStem"	"intensive"	"beja"	"hadendowa"
"dervStem"	"intensive"	"gawwada"	
"dervStem"	"intensive"	"maale"	
"dervStem"	"intransitive"	"yaaku"	
"dervStem"	"iterative"	"alaaba"	
"dervStem"	"iterative"	"shinassha"	
"dervStem"	"iterative"	"wolaytta"	
"dervStem"	"iterative"	"yemsa"	
"dervStem"	"iterative_causative"	"wolaytta"	
"dervStem"	"middle"	"alaaba"	
"dervStem"	"middle"	"gawwada"	
"dervStem"	"middle"	"iraqw"	
"dervStem"	"middle"	"tsamakko"	
"dervStem"	"middleClass"	"sidaama"	
"dervStem"	"normal"	"tsamakko"	
"dervStem"	"o-assim"	"tsamakko"	
"dervStem"	"pass1"	"rendille"	
"dervStem"	"pass2"	"rendille"	
"dervStem"	"passive"	"alaaba"	
"dervStem"	"passive"	"burji"	
"dervStem"	"passive"	"gawwada"	
"dervStem"	"passive"	"hadiyya"	
"dervStem"	"passive"	"kambaata"	
"dervStem"	"passive"	"koorete"	
"dervStem"	"passive"	"maale"	
"dervStem"	"passive"	"sidaama"	
"dervStem"	"passive"	"tsamakko"	
"dervStem"	"passive"	"wolaytta"	
"dervStem"	"passive"	"yemsa"	
"dervStem"	"passive-caus"	"alaaba"	
"dervStem"	"passiveBenefactive"	"hadiyya"	
"dervStem"	"passiveCausative"	"hadiyya"	
"dervStem"	"passiveCausative"	"maale"	
"dervStem"	"passiveReciprocalClass"	"sidaama"	
"dervStem"	"passive_causative"	"wolaytta"	
"dervStem"	"pluractional"	"alaaba"	
"dervStem"	"pluractional-transitivize"	"alaaba"	
"dervStem"	"pluractional-transitivize-caus"	"alaaba"	
"dervStem"	"pluractional-transitivize-causD"	"alaaba"	
"dervStem"	"pluractional-transitivize-causative-passive"	"alaaba"	
"dervStem"	"reciprocal"	"alaaba"	
"dervStem"	"reciprocal"	"beja"	"beniamer"
"dervStem"	"reciprocal"	"beja"	"hadendowa"
"dervStem"	"reciprocal"	"bilin"	
"dervStem"	"reciprocal"	"kemant"	
"dervStem"	"reciprocal"	"koorete"	
"dervStem"	"reciprocal"	"sidaama"	
"dervStem"	"reciprocal-caus"	"alaaba"	
"dervStem"	"reduplicated"	"burji"	
"dervStem"	"reduplicated"	"kambaata"	
"dervStem"	"reflexive"	"beja"	"beniamer"
"dervStem"	"reflexive"	"maale"	
"dervStem"	"semelfactive"	"gawwada"	
"dervStem"	"stative"	"dhaasanac"	
"dervStem"	"transitivize"	"alaaba"	
"dervStem"	"transitivize-caus"	"alaaba"	
"dervStem"	"ventive"	"yaaku"	
"dervStem"	"verbaliser"	"iraqw"	
"dervStem"	"verbaliser"	"tsamakko"	
"dervStemAug"	"at_sat-Extension"	"bayso"	
"dervStemAug"	"autobenefactivization"	"bayso"	
"dervStemAug"	"comb-Extension"	"bayso"	
"dervStemAug"	"emphatic"	"beja"	"beniamer"
"dervStemAug"	"inchoativization"	"bayso"	
"dervStemAug"	"intensive"	"beja"	"arteiga"
"dervStemAug"	"intensive"	"beja"	"atmaan"
"dervStemAug"	"intensive"	"dhaasanac"	
"dervStemAug"	"m-Extension"	"bayso"	
"dervStemAug"	"reduplication"	"bayso"	
"dervStemAug"	"reflexivization"	"bayso"	
"dervStemAug"	"repetitive"	"beja"	"atmaan"
"dervStemAug"	"simple"	"beja"	"arteiga"
"dervStemAug"	"simple"	"beja"	"atmaan"
"dervStemAug"	"simple"	"beja"	"beniamer"
"dervStemAug"	"t-Extension"	"bayso"	
"dervStemAug"	"transitivization"	"bayso"	
"dervStemAug"	"transitivization2arh"	"bayso"	
"direction"	"dirAT"	"sidaama"	
"direction"	"dirFROM"	"sidaama"	
"direction"	"dirTO"	"sidaama"	
"emphatic"	"emphatic"	"dhaasanac"	
"extended"	"dExtClass"	"dhaasanac"	
"extended"	"intensive"	"dhaasanac"	
"extended"	"long"	"dhaasanac"	
"extended"	"nasal"	"dhaasanac"	
"extended"	"reduced"	"dhaasanac"	
"extended"	"reducedNasal"	"dhaasanac"	
"extended"	"suppletive"	"dhaasanac"	
"final"	"C"	"elmolo"	
"final"	"V-non-a"	"elmolo"	
"final"	"a"	"elmolo"	
"finiteForm"	"agent"	"bilin"	
"finiteForm"	"agentNoun"	"kemant"	
"finiteForm"	"infinitive"	"bilin"	
"finiteForm"	"infinitive"	"kemant"	
"focus"	"declarative"	"koorete"	
"focus"	"defective"	"burji"	
"focus"	"foc"	"rendille"	
"focus"	"free"	"burji"	
"focus"	"full"	"burji"	
"focus"	"interrogative"	"koorete"	
"focus"	"neutral"	"arbore"	
"focus"	"non-focus"	"koorete"	
"focus"	"non-focus"	"rendille"	
"focus"	"non-subj-focus"	"arbore"	
"focus"	"subj-focus"	"arbore"	
"focus"	"subject"	"burji"	
"focusType"	"k-Focus"	"gawwada"	
"focusType"	"subjFocus"	"gawwada"	
"focusType"	"verbFocus"	"gawwada"	
"form"	"full"	"iraqw"	
"form"	"short"	"iraqw"	
"formClass"	"absoluteInfinitive"	"coptic"	"sahidic"
"genPoss"	"f"	"beja"	"hadendowa"
"genPoss"	"m"	"beja"	"hadendowa"
"genderCop"	"f"	"beja"	"bishari"
"genderCop"	"m"	"beja"	"bishari"
"genderHead"	"f"	"akkadian"	"OB"
"genderHead"	"f"	"alaaba"	
"genderHead"	"f"	"beja"	"atmaan"
"genderHead"	"f"	"beja"	"beniamer"
"genderHead"	"f"	"beja"	"bishari"
"genderHead"	"f"	"beja"	"hadendowa"
"genderHead"	"f"	"burji"	
"genderHead"	"f"	"coptic"	"sahidic"
"genderHead"	"f"	"gawwada"	
"genderHead"	"f"	"gedeo"	
"genderHead"	"f"	"khamtanga"	
"genderHead"	"m"	"akkadian"	"OB"
"genderHead"	"m"	"alaaba"	
"genderHead"	"m"	"beja"	"atmaan"
"genderHead"	"m"	"beja"	"beniamer"
"genderHead"	"m"	"beja"	"bishari"
"genderHead"	"m"	"beja"	"hadendowa"
"genderHead"	"m"	"burji"	
"genderHead"	"m"	"coptic"	"sahidic"
"genderHead"	"m"	"gawwada"	
"genderHead"	"m"	"gedeo"	
"genderHead"	"m"	"khamtanga"	
"genderHeadRel"	"f"	"kemant"	
"genderHeadRel"	"m"	"kemant"	
"genderN1"	"f"	"beja"	"hadendowa"
"genderN1"	"m"	"beja"	"hadendowa"
"genderN2"	"f"	"beja"	"hadendowa"
"genderN2"	"m"	"beja"	"hadendowa"
"genderObj"	"f"	"bayso"	
"genderObj"	"f"	"beja"	"atmaan"
"genderObj"	"f"	"tsamakko"	
"genderObj"	"m"	"bayso"	
"genderObj"	"m"	"beja"	"atmaan"
"genderObj"	"m"	"tsamakko"	
"genderP1"	"f"	"beja"	"bishari"
"genderP1"	"m"	"beja"	"bishari"
"genderPoss"	"f"	"arbore"	
"genderPoss"	"f"	"beja"	"atmaan"
"genderPoss"	"f"	"beja"	"beniamer"
"genderPoss"	"f"	"beja"	"bishari"
"genderPoss"	"f"	"burji"	
"genderPoss"	"f"	"coptic"	"sahidic"
"genderPoss"	"f"	"gedeo"	
"genderPoss"	"f"	"khamtanga"	
"genderPoss"	"f"	"somali"	"standard"
"genderPoss"	"m"	"arbore"	
"genderPoss"	"m"	"beja"	"atmaan"
"genderPoss"	"m"	"beja"	"beniamer"
"genderPoss"	"m"	"beja"	"bishari"
"genderPoss"	"m"	"burji"	
"genderPoss"	"m"	"coptic"	"sahidic"
"genderPoss"	"m"	"gedeo"	
"genderPoss"	"m"	"khamtanga"	
"genderPoss"	"m"	"somali"	"standard"
"genderRef"	"f"	"wolaytta"	
"genderRef"	"m"	"wolaytta"	
"headGen"	"f"	"iraqw"	
"headGen"	"m"	"iraqw"	
"headNoun"	"deleted"	"yaaku"	
"headNoun"	"present"	"yaaku"	
"headPosition"	"headFollow"	"beja"	"atmaan"
"headPosition"	"headPrecede"	"beja"	"atmaan"
"imperativeClass"	"base"	"iraqw"	
"imperativeClass"	"hither"	"iraqw"	
"imperativeClass"	"hitherObj"	"iraqw"	
"imperativeClass"	"object"	"iraqw"	
"imperativeForm"	"construct"	"coptic"	"sahidic"
"imperativeForm"	"pronominal"	"coptic"	"sahidic"
"infinitiveClass"	"infinitive-me"	"arbore"	
"infinitiveClass"	"infinitive-um"	"arbore"	
"infinitiveForm"	"absolute"	"coptic"	"sahidic"
"infinitiveForm"	"construct"	"coptic"	"sahidic"
"infinitiveForm"	"pronominal"	"coptic"	"sahidic"
"infinitiveVar"	"infinitive1"	"arabic"	
"infinitiveVar"	"infinitive2"	"arabic"	
"infinitivetoken"	"infinitive1"	"arabic"	
"infinitivetoken"	"infinitive2"	"arabic"	
"inflClass"	"class1"	"gawwada"	
"inflClass"	"class1a"	"gawwada"	
"inflClass"	"class1b"	"gawwada"	
"inflClass"	"class2"	"gawwada"	
"interrClass"	"how"	"burji"	
"interrClass"	"how"	"gedeo"	
"interrClass"	"how"	"hadiyya"	
"interrClass"	"how"	"kambaata"	
"interrClass"	"how_many"	"burji"	
"interrClass"	"how_many"	"gedeo"	
"interrClass"	"how_many"	"hadiyya"	
"interrClass"	"how_many"	"kambaata"	
"interrClass"	"what"	"burji"	
"interrClass"	"what"	"gedeo"	
"interrClass"	"what"	"hadiyya"	
"interrClass"	"what"	"kambaata"	
"interrClass"	"what"	"sidaama"	
"interrClass"	"when"	"burji"	
"interrClass"	"when"	"gedeo"	
"interrClass"	"when"	"kambaata"	
"interrClass"	"when"	"sidaama"	
"interrClass"	"where"	"burji"	
"interrClass"	"where"	"gedeo"	
"interrClass"	"where"	"hadiyya"	
"interrClass"	"where"	"kambaata"	
"interrClass"	"where"	"sidaama"	
"interrClass"	"which"	"sidaama"	
"interrClass"	"who"	"burji"	
"interrClass"	"who"	"gedeo"	
"interrClass"	"who"	"hadiyya"	
"interrClass"	"who"	"kambaata"	
"interrClass"	"who"	"sidaama"	
"lang"	"afar"	"afar"	
"lang"	"akkadian"	"akkadian"	"OB"
"lang"	"alaaba"	"alaaba"	
"lang"	"arabic"	"arabic"	
"lang"	"arbore"	"arbore"	
"lang"	"awngi"	"awngi"	
"lang"	"bayso"	"bayso"	
"lang"	"beja"	"beja"	"amarʔar"
"lang"	"beja"	"beja"	"arteiga"
"lang"	"beja"	"beja"	"atmaan"
"lang"	"beja"	"beja"	"beniamer"
"lang"	"beja"	"beja"	"bishari"
"lang"	"beja"	"beja"	"hadendowa"
"lang"	"bilin"	"bilin"	
"lang"	"bilin"	"kemant"	
"lang"	"boni"	"boni"	
"lang"	"boni"	"boni"	"jara"
"lang"	"boni"	"boni"	"kilii"
"lang"	"burji"	"burji"	
"lang"	"coptic"	"coptic"	"sahidic"
"lang"	"dahalo"	"dahalo"	
"lang"	"dhaasanac"	"dhaasanac"	
"lang"	"dhaasanac"	"dhaasanac"	"standard"
"lang"	"dhaasanac"	"somali"	"standard"
"lang"	"egyptian"	"egyptian"	"middle"
"lang"	"elmolo"	"elmolo"	
"lang"	"gawwada"	"gawwada"	
"lang"	"gedeo"	"gedeo"	
"lang"	"geez"	"geez"	
"lang"	"hadiyya"	"hadiyya"	
"lang"	"hebrew"	"hebrew"	
"lang"	"iraqw"	"iraqw"	
"lang"	"kambaata"	"kambaata"	
"lang"	"kemant"	"bilin"	
"lang"	"kemant"	"kemant"	
"lang"	"khamtanga"	"khamtanga"	
"lang"	"koorete"	"koorete"	
"lang"	"maale"	"maale"	
"lang"	"oromo"	"oromo"	
"lang"	"rendille"	"rendille"	
"lang"	"saho"	"saho"	
"lang"	"shinassha"	"shinassha"	
"lang"	"sidaama"	"sidaama"	
"lang"	"somali"	"dhaasanac"	"standard"
"lang"	"somali"	"somali"	"standard"
"lang"	"syriac"	"syriac"	
"lang"	"tsamakko"	"tsamakko"	
"lang"	"wolaytta"	"wolaytta"	
"lang"	"yaaku"	"yaaku"	
"lang"	"yemsa"	"yemsa"	
"langComp"	"arabic"	"beja"	"beniamer"
"langComp"	"hebrew"	"beja"	"beniamer"
"langVar"	"OB"	"akkadian"	"OB"
"langVar"	"amarʔar"	"beja"	"amarʔar"
"langVar"	"amarʔar"	"beja"	"arteiga"
"langVar"	"arteiga"	"beja"	"amarʔar"
"langVar"	"arteiga"	"beja"	"arteiga"
"langVar"	"arteiga"	"beja"	"bishari"
"langVar"	"arteiga"	"beja"	"hadendowa"
"langVar"	"atmaan"	"beja"	"atmaan"
"langVar"	"beniamer"	"beja"	"beniamer"
"langVar"	"bishari"	"beja"	"arteiga"
"langVar"	"bishari"	"beja"	"bishari"
"langVar"	"hadendowa"	"beja"	"arteiga"
"langVar"	"hadendowa"	"beja"	"hadendowa"
"langVar"	"jara"	"boni"	"jara"
"langVar"	"kilii"	"boni"	"kilii"
"langVar"	"middle"	"egyptian"	"middle"
"langVar"	"sahidic"	"coptic"	"sahidic"
"langVar"	"standard"	"dhaasanac"	"standard"
"langVar"	"standard"	"somali"	"standard"
"lexlabel"	"bis"	"beja"	"hadendowa"
"lexlabel"	"dif"	"beja"	"hadendowa"
"mainStem"	"eForm--invar"	"afar"	
"mainStem"	"imperative"	"afar"	
"mainStem"	"imperfect"	"afar"	
"mainStem"	"imperfect-m"	"afar"	
"mainStem"	"imperfectParticiple"	"afar"	
"mainStem"	"jussive"	"afar"	
"mainStem"	"ma-requestive"	"afar"	
"mainStem"	"mà-imperfect"	"afar"	
"mainStem"	"mà-stem"	"afar"	
"mainStem"	"mà-stem-in--imperative"	"afar"	
"mainStem"	"participle-k--invar"	"afar"	
"mainStem"	"perfect"	"afar"	
"mainStem"	"perfect-m"	"afar"	
"mainStem"	"perfectParticiple"	"afar"	
"mainStem"	"requestive"	"afar"	
"mainStem"	"stem"	"afar"	
"mainStem"	"u-Form"	"afar"	
"middleClass"	"case-iii"	"sidaama"	
"middleClass"	"case-v"	"sidaama"	
"middleClass"	"case-vi"	"sidaama"	
"modal"	"mirative"	"maale"	
"modal"	"newInfo"	"maale"	
"modal"	"nonVerbal"	"maale"	
"modal"	"perfective"	"maale"	
"modal"	"veridical"	"maale"	
"mood"	"Q"	"iraqw"	
"mood"	"command"	"shinassha"	
"mood"	"command"	"wolaytta"	
"mood"	"command"	"yemsa"	
"mood"	"conditional"	"shinassha"	
"mood"	"conditional"	"yemsa"	
"mood"	"conjClass"	"shinassha"	
"mood"	"desiderative"	"shinassha"	
"mood"	"desiderative"	"wolaytta"	
"mood"	"desiderative"	"yemsa"	
"mood"	"gerund"	"shinassha"	
"mood"	"gerund"	"wolaytta"	
"mood"	"gerund"	"yemsa"	
"mood"	"hypothetical"	"wolaytta"	
"mood"	"imperative"	"arabic"	
"mood"	"imperative"	"beja"	"hadendowa"
"mood"	"indicative"	"arabic"	
"mood"	"indicative"	"arbore"	
"mood"	"indicative"	"iraqw"	
"mood"	"indicative"	"shinassha"	
"mood"	"indicative"	"wolaytta"	
"mood"	"indicative"	"yemsa"	
"mood"	"infinitive"	"shinassha"	
"mood"	"infinitive"	"wolaytta"	
"mood"	"infinitiveInflect"	"shinassha"	
"mood"	"interrogative"	"wolaytta"	
"mood"	"irrealis"	"shinassha"	
"mood"	"jussive"	"arabic"	
"mood"	"jussive"	"shinassha"	
"mood"	"non-finite"	"yemsa"	
"mood"	"non-indicative"	"arbore"	
"mood"	"potential"	"shinassha"	
"mood"	"potential"	"wolaytta"	
"mood"	"potential"	"yemsa"	
"mood"	"relative"	"shinassha"	
"mood"	"relative"	"wolaytta"	
"mood"	"stem"	"shinassha"	
"mood"	"subjunctive"	"arabic"	
"mood"	"subjunctive"	"boni"	"kilii"
"mood"	"subjunctive"	"iraqw"	
"mood"	"subjunctivepdgmLex"	"boni"	"jara"
"mood"	"subjunctivepdgmLex"	"shinassha"	
"mood"	"subjunctivepdgmLex"	"wolaytta"	
"mood"	"subjunctivepolarity"	"boni"	"jara"
"morphClass"	"copAn"	"beja"	"beniamer"
"morphClass"	"demonstrativeNear"	"coptic"	"sahidic"
"morphClass"	"demonstrativeRemote"	"coptic"	"sahidic"
"morphClass"	"infinitive"	"coptic"	"sahidic"
"morphClass"	"infinitiveCompCaus"	"coptic"	"sahidic"
"morphClass"	"intensive1"	"coptic"	"sahidic"
"morphClass"	"intensive2"	"coptic"	"sahidic"
"morphClass"	"intensive3"	"coptic"	"sahidic"
"morphClass"	"possessive"	"coptic"	"sahidic"
"morphClass"	"tenseAspOverview"	"beja"	"atmaan"
"nomForm"	"gerund"	"beja"	"hadendowa"
"nomForm"	"nomAgent"	"beja"	"hadendowa"
"nomForm"	"nominalAction"	"beja"	"hadendowa"
"nomForm"	"nominalAgent"	"beja"	"hadendowa"
"nomForm"	"participle"	"beja"	"hadendowa"
"nomForm"	"perfectParticiple"	"beja"	"hadendowa"
"nomForm"	"presentParticitpl"	"beja"	"hadendowa"
"nonFiniteForm"	"action"	"khamtanga"	
"nonFiniteForm"	"agent"	"khamtanga"	
"nonFiniteForm"	"agent"	"oromo"	
"nonFiniteForm"	"gerund"	"beja"	"hadendowa"
"nonFiniteForm"	"gerund"	"oromo"	
"nonFiniteForm"	"infinitive"	"arbore"	
"nonFiniteForm"	"infinitive"	"oromo"	
"nonFiniteForm"	"infinitive"	"somali"	"standard"
"nonFiniteForm"	"instrumental"	"khamtanga"	
"nonFiniteForm"	"nomAgent"	"beja"	"hadendowa"
"nonFiniteForm"	"nominalAction"	"beja"	"atmaan"
"nonFiniteForm"	"nominalAction"	"beja"	"hadendowa"
"nonFiniteForm"	"nominalAgent"	"beja"	"hadendowa"
"nonFiniteForm"	"nonFinite"	"afar"	
"nonFiniteForm"	"nonFinite"	"oromo"	
"nonFiniteForm"	"participle"	"beja"	"arteiga"
"nonFiniteForm"	"participle"	"beja"	"atmaan"
"nonFiniteForm"	"participle"	"beja"	"bishari"
"nonFiniteForm"	"participle"	"beja"	"hadendowa"
"nonFiniteForm"	"participle"	"saho"	
"nonFiniteForm"	"perfectParticiple"	"beja"	"hadendowa"
"nonFiniteForm"	"presentParticiple"	"beja"	"hadendowa"
"nonFiniteForm"	"verbalNoun"	"dhaasanac"	
"nounClass"	"cardinalNumeral"	"kemant"	
"nounMorphClass"	"case"	"khamtanga"	
"nounMorphClass"	"genAdjPart"	"beja"	"hadendowa"
"nounMorphClass"	"genBeforePossSuff"	"beja"	"hadendowa"
"nounMorphClass"	"gender"	"khamtanga"	
"nounMorphClass"	"numOrd"	"beja"	"hadendowa"
"nounMorphClass"	"number"	"bayso"	
"nounMorphClass"	"number"	"khamtanga"	
"nounMorphClass"	"numeral"	"beja"	"hadendowa"
"nounMorphClass"	"numeral"	"khamtanga"	
"ns#type"	"Term"	"afar"	
"ns#type"	"Term"	"akkadian"	"OB"
"ns#type"	"Term"	"alaaba"	
"ns#type"	"Term"	"arabic"	
"ns#type"	"Term"	"arbore"	
"ns#type"	"Term"	"awngi"	
"ns#type"	"Term"	"bayso"	
"ns#type"	"Term"	"beja"	"amarʔar"
"ns#type"	"Term"	"beja"	"arteiga"
"ns#type"	"Term"	"beja"	"atmaan"
"ns#type"	"Term"	"beja"	"beniamer"
"ns#type"	"Term"	"beja"	"bishari"
"ns#type"	"Term"	"beja"	"hadendowa"
"ns#type"	"Term"	"bilin"	
"ns#type"	"Term"	"boni"	
"ns#type"	"Term"	"boni"	"jara"
"ns#type"	"Term"	"boni"	"kilii"
"ns#type"	"Term"	"burji"	
"ns#type"	"Term"	"coptic"	"sahidic"
"ns#type"	"Term"	"dahalo"	
"ns#type"	"Term"	"dhaasanac"	
"ns#type"	"Term"	"dhaasanac"	"standard"
"ns#type"	"Term"	"egyptian"	"middle"
"ns#type"	"Term"	"elmolo"	
"ns#type"	"Term"	"gawwada"	
"ns#type"	"Term"	"gedeo"	
"ns#type"	"Term"	"geez"	
"ns#type"	"Term"	"hadiyya"	
"ns#type"	"Term"	"hebrew"	
"ns#type"	"Term"	"iraqw"	
"ns#type"	"Term"	"kambaata"	
"ns#type"	"Term"	"kemant"	
"ns#type"	"Term"	"khamtanga"	
"ns#type"	"Term"	"koorete"	
"ns#type"	"Term"	"maale"	
"ns#type"	"Term"	"oromo"	
"ns#type"	"Term"	"rendille"	
"ns#type"	"Term"	"saho"	
"ns#type"	"Term"	"shinassha"	
"ns#type"	"Term"	"sidaama"	
"ns#type"	"Term"	"somali"	"standard"
"ns#type"	"Term"	"syriac"	
"ns#type"	"Term"	"tsamakko"	
"ns#type"	"Term"	"wolaytta"	
"ns#type"	"Term"	"yaaku"	
"ns#type"	"Term"	"yemsa"	
"ns#type"	"lexid"	"afar"	
"ns#type"	"lexid"	"akkadian"	"OB"
"ns#type"	"lexid"	"alaaba"	
"ns#type"	"lexid"	"arabic"	
"ns#type"	"lexid"	"arbore"	
"ns#type"	"lexid"	"awngi"	
"ns#type"	"lexid"	"bayso"	
"ns#type"	"lexid"	"beja"	"arteiga"
"ns#type"	"lexid"	"beja"	"atmaan"
"ns#type"	"lexid"	"beja"	"beniamer"
"ns#type"	"lexid"	"beja"	"bishari"
"ns#type"	"lexid"	"beja"	"hadendowa"
"ns#type"	"lexid"	"bilin"	
"ns#type"	"lexid"	"boni"	"jara"
"ns#type"	"lexid"	"boni"	"kilii"
"ns#type"	"lexid"	"burji"	
"ns#type"	"lexid"	"coptic"	"sahidic"
"ns#type"	"lexid"	"dahalo"	
"ns#type"	"lexid"	"dhaasanac"	
"ns#type"	"lexid"	"elmolo"	
"ns#type"	"lexid"	"gawwada"	
"ns#type"	"lexid"	"gedeo"	
"ns#type"	"lexid"	"geez"	
"ns#type"	"lexid"	"hadiyya"	
"ns#type"	"lexid"	"hebrew"	
"ns#type"	"lexid"	"iraqw"	
"ns#type"	"lexid"	"kambaata"	
"ns#type"	"lexid"	"kemant"	
"ns#type"	"lexid"	"khamtanga"	
"ns#type"	"lexid"	"koorete"	
"ns#type"	"lexid"	"maale"	
"ns#type"	"lexid"	"oromo"	
"ns#type"	"lexid"	"rendille"	
"ns#type"	"lexid"	"saho"	
"ns#type"	"lexid"	"shinassha"	
"ns#type"	"lexid"	"sidaama"	
"ns#type"	"lexid"	"somali"	"standard"
"ns#type"	"lexid"	"tsamakko"	
"ns#type"	"lexid"	"wolaytta"	
"ns#type"	"lexid"	"yaaku"	
"ns#type"	"lexid"	"yemsa"	
"numClass"	"cardinal"	"khamtanga"	
"numClass"	"ordinal"	"khamtanga"	
"numCop"	"pl"	"beja"	"bishari"
"numCop"	"sg"	"beja"	"bishari"
"numHead"	"pl"	"akkadian"	"OB"
"numHead"	"pl"	"beja"	"atmaan"
"numHead"	"pl"	"beja"	"beniamer"
"numHead"	"pl"	"beja"	"bishari"
"numHead"	"pl"	"beja"	"hadendowa"
"numHead"	"pl"	"hebrew"	
"numHead"	"pl"	"iraqw"	
"numHead"	"pl"	"khamtanga"	
"numHead"	"pl"	"syriac"	
"numHead"	"sg"	"akkadian"	"OB"
"numHead"	"sg"	"beja"	"atmaan"
"numHead"	"sg"	"beja"	"beniamer"
"numHead"	"sg"	"beja"	"bishari"
"numHead"	"sg"	"beja"	"hadendowa"
"numHead"	"sg"	"hebrew"	
"numHead"	"sg"	"iraqw"	
"numHead"	"sg"	"khamtanga"	
"numHead"	"sg"	"syriac"	
"numHeadRel"	"pl"	"kemant"	
"numHeadRel"	"sg"	"kemant"	
"numN1"	"pl"	"beja"	"hadendowa"
"numN1"	"sg"	"beja"	"hadendowa"
"numObj"	"pl"	"bayso"	
"numObj"	"pl"	"beja"	"atmaan"
"numObj"	"pl"	"iraqw"	
"numObj"	"pl"	"tsamakko"	
"numObj"	"sg"	"bayso"	
"numObj"	"sg"	"beja"	"atmaan"
"numObj"	"sg"	"iraqw"	
"numObj"	"sg"	"tsamakko"	
"numP1"	"pl"	"beja"	"bishari"
"numP1"	"sg"	"beja"	"bishari"
"numP2"	"pl"	"beja"	"bishari"
"numP2"	"sg"	"beja"	"bishari"
"numPersGender"	"invariable"	"somali"	"standard"
"numPoss"	"pl"	"arbore"	
"numPoss"	"pl"	"beja"	"bishari"
"numPoss"	"pl"	"beja"	"hadendowa"
"numPoss"	"sg"	"arbore"	
"numPoss"	"sg"	"beja"	"bishari"
"numPoss"	"sg"	"beja"	"hadendowa"
"numRef"	"multi"	"bayso"	
"numRef"	"paucal"	"bayso"	
"numRef"	"singulative"	"bayso"	
"numRef"	"unit"	"bayso"	
"numSubj"	"pl"	"iraqw"	
"numSubj"	"sg"	"iraqw"	
"numberGender"	"f"	"bayso"	
"numberGender"	"m"	"bayso"	
"numberGender"	"pl"	"bayso"	
"numberGenderHead"	"headPl"	"bilin"	
"numberGenderHead"	"headSgf"	"bilin"	
"numberGenderHead"	"headSgm"	"bilin"	
"numberHead"	"pl"	"coptic"	"sahidic"
"numberHead"	"sg"	"coptic"	"sahidic"
"numeralGloss"	"10"	"beja"	"hadendowa"
"numeralGloss"	"100"	"beja"	"hadendowa"
"numeralGloss"	"1000"	"beja"	"hadendowa"
"numeralGloss"	"11"	"beja"	"hadendowa"
"numeralGloss"	"110"	"beja"	"hadendowa"
"numeralGloss"	"12"	"beja"	"hadendowa"
"numeralGloss"	"13"	"beja"	"hadendowa"
"numeralGloss"	"14"	"beja"	"hadendowa"
"numeralGloss"	"15"	"beja"	"hadendowa"
"numeralGloss"	"16"	"beja"	"hadendowa"
"numeralGloss"	"17"	"beja"	"hadendowa"
"numeralGloss"	"18"	"beja"	"hadendowa"
"numeralGloss"	"19"	"beja"	"hadendowa"
"numeralGloss"	"20"	"beja"	"hadendowa"
"numeralGloss"	"200"	"beja"	"hadendowa"
"numeralGloss"	"2000"	"beja"	"hadendowa"
"numeralGloss"	"21"	"beja"	"hadendowa"
